"TipodeRede"	"TipodeMonitoramento"	"Tipo"	"Data"	"Hora"	"CodigoEstação"	"NomeEstação"	"NomeParâmetro"	"UnidadedeMedida"	"MediaHoraria"	"MediaMovel"	"Valido"
"2"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"01:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	9	"-"	"Não"
"3"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"02:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	9	"-"	"Sim"
"4"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"03:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	5	"-"	"Sim"
"5"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"04:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	4	"-"	"Sim"
"6"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"05:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	5	"-"	"Sim"
"7"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"06:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	5	"-"	"Sim"
"8"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"07:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	5	"-"	"Sim"
"9"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"08:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	7	"-"	"Sim"
"10"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"09:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	6	"-"	"Não"
"11"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"10:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	4	"-"	"Não"
"12"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"11:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	2	"-"	"Sim"
"13"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"12:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	1	"-"	"Sim"
"14"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"13:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	1	"-"	"Sim"
"15"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"14:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	1	"-"	"Sim"
"16"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"15:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	1	"-"	"Sim"
"17"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"16:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	0	"-"	"Sim"
"18"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"17:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	1	"-"	"Sim"
"19"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"18:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	2	"-"	"Sim"
"20"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"19:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	3	"-"	"Sim"
"21"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"20:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	5	"-"	"Sim"
"22"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"21:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	8	"-"	"Sim"
"23"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"22:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	6	"-"	"Sim"
"24"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"23:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	5	"-"	"Sim"
"25"	"Automático"	"CETESB"	"Dados Primários"	"01/01/2014"	"24:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	6	"-"	"Sim"
"26"	"Automático"	"CETESB"	"Dados Primários"	"02/01/2014"	"01:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	3	"-"	"Não"
"27"	"Automático"	"CETESB"	"Dados Primários"	"02/01/2014"	"02:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	3	"-"	"Sim"
"28"	"Automático"	"CETESB"	"Dados Primários"	"02/01/2014"	"03:00"	"95"	"Cid.Universitária-USP-Ipen"	"NOx (Óxidos de Nitrogênio)"	"ppb"	3	"-"	"Sim"
