codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A571,01/06/2018,23,19.8,20.9,19.4,,,,,,,935.4,935.4,934.9,1.3,215,2.7,-3.60,0.0
A571,01/06/2018,22,20.7,24.2,20.4,,,,,,,935.0,935.0,934.4,0.9,203,2.4,-3.60,0.0
A571,01/06/2018,21,24.2,25.5,24.2,,,,,,,934.5,934.5,934.2,1.1,29,3.0,49.91,0.0
A571,01/06/2018,20,25.5,26.4,25.5,,,,,,,934.2,934.3,934.1,1.4,112,4.2,228.8,0.0
A571,01/06/2018,19,26.4,27.2,26.2,,,,,,,934.1,934.1,933.9,2.9,100,4.4,1380.,0.0
A571,01/06/2018,17,26.0,26.9,25.8,,,,,,,934.7,935.5,934.7,1.9,355,6.0,2401.,0.0
A571,01/06/2018,18,26.4,26.8,25.7,,,,,,,934.0,934.7,934.0,1.8,100,5.3,1794.,0.0
A571,01/06/2018,16,25.8,25.8,24.7,,,,,,,935.5,936.4,935.5,2.4,58,6.0,2592.,0.0
A571,01/06/2018,15,24.7,24.8,23.1,,,,,,,936.4,937.1,936.4,3.1,58,6.7,2642.,0.0
A571,01/06/2018,14,23.4,23.6,21.7,,,,,,,937.0,937.6,937.0,4.1,14,6.7,2376.,0.0
A571,01/06/2018,13,21.8,21.8,20.0,,,,,,,937.6,937.7,937.4,3.2,34,5.2,1878.,0.0
A571,01/06/2018,12,20.1,20.1,17.9,,,,,,,937.4,937.5,936.8,2.8,65,4.4,1200.,0.0
A571,01/06/2018,11,17.9,17.9,14.6,,,,,,,936.9,936.9,935.8,0.6,342,1.7,586.2,0.0
A571,01/06/2018,10,15.0,15.8,14.2,,,,,,,935.8,935.8,935.3,0.3,288,2.0,45.66,0.0
A571,01/06/2018,09,15.8,15.9,15.6,,,,,,,935.3,935.3,934.9,1.7,230,2.9,-3.60,0.0
A571,01/06/2018,08,15.6,15.6,14.5,,,,,,,934.9,934.9,934.6,2.6,238,3.1,-3.60,0.0
A571,01/06/2018,07,14.8,15.6,14.7,,,,,,,934.7,934.7,934.3,1.5,229,2.4,-3.60,0.0
A571,01/06/2018,06,14.9,15.5,14.2,,,,,,,934.4,934.6,934.4,0.7,82,2.5,-3.60,0.0
A571,01/06/2018,05,14.5,17.7,14.5,,,,,,,934.6,934.8,934.6,0.8,90,1.3,-3.60,0.0
A571,01/06/2018,04,17.2,17.2,16.1,,,,,,,934.8,935.4,934.8,0.6,246,1.0,-3.60,0.0
A571,01/06/2018,03,16.4,17.0,16.3,,,,,,,935.3,935.4,935.2,0.5,311,1.9,-3.60,0.0
A571,01/06/2018,02,16.9,18.1,16.6,,,,,,,935.4,935.4,935.3,0.5,342,1.2,-3.60,0.0
A571,01/06/2018,00,19.0,19.4,18.2,,,,,,,934.9,934.9,934.5,0.4,247,0.8,-3.60,0.0
A571,01/06/2018,01,18.2,19.0,18.1,,,,,,,935.4,935.4,934.9,0.5,283,1.4,-3.60,0.0
